回数,step,種類,青時間(秒)
1387,84311,主道路,69
1389,84449,主道路,50
1391,84551,主道路,69
1393,84689,主道路,50
1395,84791,主道路,69
1397,84929,主道路,50
1399,85031,主道路,69
1401,85169,主道路,50
1403,85271,主道路,69
1405,85409,主道路,50
1407,85511,主道路,69
1409,85649,主道路,50
1411,85751,主道路,69
1413,85889,主道路,50
1415,85991,主道路,69
1417,86129,主道路,50
1419,86231,主道路,69
1421,86369,主道路,50
1423,86471,主道路,69
1425,86609,主道路,50
1427,86711,主道路,69
1429,86849,主道路,50
1431,86951,主道路,69
1433,87089,主道路,50
1435,87191,主道路,69
1437,87329,主道路,50
1439,87431,主道路,69
1441,87569,主道路,50
1443,87671,主道路,69
1445,87809,主道路,50
1447,87911,主道路,69
