回数,step,種類,青時間(秒)
774,47557.0,従道路,16.0
776,47677.0,従道路,35.0
778,47797.0,従道路,16.0
780,47917.0,従道路,35.0
782,48042.0,従道路,16.0
784,48157.0,従道路,35.0
786,48277.0,従道路,16.0
788,48397.0,従道路,35.0
790,48517.0,従道路,16.0
792,48637.0,従道路,35.0
794,48757.0,従道路,16.0
796,48877.0,従道路,35.0
798,48997.0,従道路,16.0
800,49117.0,従道路,35.0
802,49237.0,従道路,16.0
804,49357.0,従道路,35.0
806,49477.0,従道路,16.0
808,49597.0,従道路,35.0
810,49717.0,従道路,16.0
812,49837.0,従道路,35.0
814,49957.0,従道路,16.0
816,50077.0,従道路,35.0
818,50197.0,従道路,16.0
820,50317.0,従道路,35.0
822,50437.0,従道路,16.0
824,50557.0,従道路,35.0
826,50677.0,従道路,16.0
828,50797.0,従道路,35.0
830,50917.0,従道路,16.0
832,51037.0,従道路,35.0
834,51157.0,従道路,16.0
836,51277.0,従道路,35.0
838,51397.0,従道路,16.0
840,51517.0,従道路,35.0
842,51637.0,従道路,16.0
844,51757.0,従道路,35.0
846,51877.0,従道路,16.0
848,51997.0,従道路,35.0
850,52117.0,従道路,16.0
852,52237.0,従道路,35.0
854,52357.0,従道路,16.0
856,52477.0,従道路,35.0
858,52597.0,従道路,16.0
860,52717.0,従道路,35.0
862,52837.0,従道路,16.0
864,52957.0,従道路,35.0
866,53077.0,従道路,16.0
868,53197.0,従道路,35.0
870,53317.0,従道路,16.0
872,53437.0,従道路,35.0
874,53557.0,従道路,16.0
876,53677.0,従道路,35.0
878,53802.0,従道路,16.0
880,53917.0,従道路,35.0
882,54037.0,従道路,16.0
884,54157.0,従道路,35.0
886,54277.0,従道路,16.0
888,54397.0,従道路,35.0
890,54517.0,従道路,16.0
892,54637.0,従道路,35.0
894,54757.0,従道路,16.0
896,54877.0,従道路,35.0
898,54997.0,従道路,16.0
900,55117.0,従道路,35.0
902,55237.0,従道路,16.0
904,55357.0,従道路,35.0
906,55477.0,従道路,16.0
908,55597.0,従道路,35.0
910,55717.0,従道路,16.0
912,55837.0,従道路,35.0
914,55957.0,従道路,16.0
916,56077.0,従道路,35.0
918,56197.0,従道路,16.0
920,56317.0,従道路,35.0
922,56437.0,従道路,16.0
924,56557.0,従道路,35.0
926,56677.0,従道路,16.0
928,56797.0,従道路,35.0
930,56917.0,従道路,16.0
932,57037.0,従道路,35.0
934,57157.0,従道路,16.0
936,57277.0,従道路,35.0
938,57397.0,従道路,16.0
940,57517.0,従道路,35.0
942,57637.0,従道路,16.0
944,57757.0,従道路,35.0
946,57877.0,従道路,16.0
948,57997.0,従道路,35.0
950,58117.0,従道路,16.0
952,58237.0,従道路,35.0
954,58357.0,従道路,16.0
956,58477.0,従道路,35.0
958,58597.0,従道路,16.0
960,58717.0,従道路,35.0
962,58837.0,従道路,16.0
964,58957.0,従道路,35.0
966,59077.0,従道路,16.0
968,59197.0,従道路,35.0
970,59317.0,従道路,16.0
972,59437.0,従道路,35.0
974,59557.0,従道路,16.0
976,59677.0,従道路,35.0
978,59797.0,従道路,16.0
980,59917.0,従道路,35.0
982,60037.0,従道路,16.0
984,60157.0,従道路,35.0
986,60277.0,従道路,16.0
988,60397.0,従道路,35.0
990,60517.0,従道路,16.0
992,60637.0,従道路,35.0
994,60757.0,従道路,16.0
996,60877.0,従道路,35.0
998,60997.0,従道路,16.0
1000,61117.0,従道路,35.0
1002,61237.0,従道路,16.0
1004,61357.0,従道路,35.0
1006,61477.0,従道路,16.0
1008,61597.0,従道路,35.0
1010,61717.0,従道路,16.0
1012,61837.0,従道路,35.0
1014,61957.0,従道路,21.0
1016,62082.0,従道路,30.0
1018,62197.0,従道路,16.0
1020,62317.0,従道路,35.0
1022,62437.0,従道路,16.0
1024,62557.0,従道路,35.0
1026,62677.0,従道路,16.0
1028,62797.0,従道路,35.0
1030,62917.0,従道路,16.0
1032,63037.0,従道路,35.0
1034,63157.0,従道路,16.0
1036,63277.0,従道路,35.0
1038,63397.0,従道路,16.0
1040,63517.0,従道路,35.0
1042,63637.0,従道路,16.0
1044,63757.0,従道路,35.0
1046,63877.0,従道路,16.0
1048,63997.0,従道路,35.0
1050,64117.0,従道路,16.0
1052,64237.0,従道路,35.0
1054,64357.0,従道路,16.0
1056,64477.0,従道路,35.0
1058,64615.0,従道路,16.0
1060,64717.0,従道路,35.0
1062,64837.0,従道路,16.0
1064,64957.0,従道路,35.0
1066,65077.0,従道路,16.0
1068,65197.0,従道路,35.0
1070,65317.0,従道路,16.0
1072,65437.0,従道路,35.0
1074,65557.0,従道路,16.0
1076,65677.0,従道路,35.0
1078,65797.0,従道路,16.0
1080,65917.0,従道路,35.0
1082,66037.0,従道路,16.0
1084,66157.0,従道路,35.0
1086,66277.0,従道路,16.0
1088,66397.0,従道路,35.0
1090,66517.0,従道路,16.0
1092,66637.0,従道路,35.0
1094,66757.0,従道路,16.0
1096,66877.0,従道路,35.0
1098,66997.0,従道路,16.0
1100,67117.0,従道路,35.0
1102,67237.0,従道路,16.0
1104,67357.0,従道路,35.0
1106,67477.0,従道路,16.0
1108,67597.0,従道路,35.0
1110,67717.0,従道路,16.0
1112,67837.0,従道路,35.0
1114,67957.0,従道路,16.0
1116,68077.0,従道路,35.0
1118,68197.0,従道路,16.0
1120,68317.0,従道路,35.0
1122,68437.0,従道路,16.0
1124,68557.0,従道路,35.0
1126,68677.0,従道路,16.0
1128,68797.0,従道路,35.0
1130,68917.0,従道路,16.0
1132,69037.0,従道路,35.0
1134,69157.0,従道路,16.0
1136,69277.0,従道路,35.0
1138,69397.0,従道路,16.0
1140,69517.0,従道路,35.0
1142,69637.0,従道路,16.0
1144,69757.0,従道路,35.0
1146,69877.0,従道路,16.0
1148,69997.0,従道路,35.0
1150,70117.0,従道路,16.0
1152,70237.0,従道路,35.0
1154,70357.0,従道路,16.0
1156,70477.0,従道路,35.0
1158,70597.0,従道路,16.0
1160,70717.0,従道路,35.0
1162,70837.0,従道路,16.0
1164,70957.0,従道路,35.0
1166,71077.0,従道路,16.0
1168,71197.0,従道路,35.0
1170,71317.0,従道路,16.0
1172,71437.0,従道路,35.0
1174,71557.0,従道路,16.0
1176,71677.0,従道路,35.0
